GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
student-manager,com.example.model,DatabaseInitializer,47,55,4,2,15,16,5,2,2,2
student-manager,com.example.model,UserModel,42,0,0,0,13,0,7,0,7,0
student-manager,com.example.model,StudentSeeder,3,347,0,6,1,20,1,5,1,2
student-manager,com.example.model,PasswordHasher,34,0,0,0,9,0,3,0,3,0
student-manager,com.example.model,StudentModel,39,0,0,0,14,0,7,0,7,0
student-manager,com.example.model,SaltUtil,17,0,0,0,5,0,2,0,2,0
student-manager,com.example.model,PasswordVerifier,11,0,0,0,3,0,2,0,2,0
student-manager,com.example.model,GradeModel,39,0,0,0,14,0,7,0,7,0
student-manager,com.example,Main,33,0,0,0,15,0,3,0,3,0
student-manager,com.example.controller,StudentController,353,0,24,0,91,0,29,0,17,0
student-manager,com.example.controller,StudentDAO,215,0,22,0,56,0,17,0,6,0
student-manager,com.example.controller,GradeDAO,258,0,24,0,70,0,19,0,7,0
student-manager,com.example.controller,UserDAO,197,0,18,0,52,0,17,0,8,0
student-manager,com.example.view,RechercheView,742,0,28,0,134,0,37,0,23,0
student-manager,com.example.view,LoginView,1144,0,16,0,171,0,25,0,17,0
student-manager,com.example.view,StatistiquesView,573,0,16,0,96,0,17,0,9,0
student-manager,com.example.view,App,5,0,0,0,3,0,3,0,3,0
student-manager,com.example.view,EtudiantsView,697,0,34,0,130,0,32,0,15,0
student-manager,com.example.view,MainMenuView,355,0,2,0,73,0,14,0,13,0
student-manager,com.example.view,BulletinController,285,0,18,0,57,0,14,0,5,0
student-manager,com.example.view,EtudiantsView.new TableCell() {...},97,0,10,0,16,0,9,0,4,0
student-manager,com.example.view,RegisterView,1320,0,40,0,198,0,39,0,19,0
student-manager,com.example.view,StyleFactory,541,0,6,0,116,0,48,0,45,0
student-manager,com.example.view,EtudiantFormView,435,0,24,0,83,0,21,0,9,0
student-manager,com.example.view,StatistiquesView.Stats,18,0,0,0,7,0,1,0,1,0
